"filters1","kernel_size1","pool_size1","filters2","kernel_size2","dense_units","dropout_cnn","dropout_dense","learning_rate","batch_size","epochs","val_accuracy","num_actual_epochs"
32,3,2,0,3,64,0.2,0.3,0.01,16,30,0.446601927280426,18
64,3,2,0,3,64,0.2,0.3,0.01,16,30,0.45631068944931,18
128,3,2,0,3,64,0.2,0.3,0.01,16,30,0.446601927280426,16
32,5,2,0,3,64,0.2,0.3,0.01,16,30,0.485436886548996,30
64,5,2,0,3,64,0.2,0.3,0.01,16,30,0.45631068944931,23
128,5,2,0,3,64,0.2,0.3,0.01,16,30,0.45631068944931,18
32,7,2,0,3,64,0.2,0.3,0.01,16,30,0.504854381084442,30
64,7,2,0,3,64,0.2,0.3,0.01,16,30,0.495145618915558,30
128,7,2,0,3,64,0.2,0.3,0.01,16,30,0.504854381084442,16
32,3,2,64,3,64,0.2,0.3,0.01,16,30,0.466019421815872,30
64,3,2,64,3,64,0.2,0.3,0.01,16,30,0.485436886548996,30
32,5,2,64,3,64,0.2,0.3,0.01,16,30,0.446601927280426,16
64,5,2,64,3,64,0.2,0.3,0.01,16,30,0.475728154182434,30
32,7,2,64,3,64,0.2,0.3,0.01,16,30,0.495145618915558,30
64,7,2,64,3,64,0.2,0.3,0.01,16,30,0.485436886548996,30
32,3,2,128,3,64,0.2,0.3,0.01,16,30,0.45631068944931,22
64,3,2,128,3,64,0.2,0.3,0.01,16,30,0.45631068944931,16
128,3,2,128,3,64,0.2,0.3,0.01,16,30,0.446601927280426,16
32,5,2,128,3,64,0.2,0.3,0.01,16,30,0.495145618915558,30
64,5,2,128,3,64,0.2,0.3,0.01,16,30,0.45631068944931,17
128,5,2,128,3,64,0.2,0.3,0.01,16,30,0.485436886548996,30
32,7,2,128,3,64,0.2,0.3,0.01,16,30,0.466019421815872,16
64,7,2,128,3,64,0.2,0.3,0.01,16,30,0.514563083648682,30
128,7,2,128,3,64,0.2,0.3,0.01,16,30,0.485436886548996,30
32,3,2,64,5,64,0.2,0.3,0.01,16,30,0.446601927280426,16
64,3,2,64,5,64,0.2,0.3,0.01,16,30,0.45631068944931,23
32,5,2,64,5,64,0.2,0.3,0.01,16,30,0.45631068944931,17
64,5,2,64,5,64,0.2,0.3,0.01,16,30,0.475728154182434,18
32,7,2,64,5,64,0.2,0.3,0.01,16,30,0.466019421815872,22
