"units1","units2","dropout_rate1","dropout_rate2","learning_rate","batch_size","epochs","val_accuracy","num_actual_epochs"
64,32,0.2,0.2,0.01,16,30,0.53398060798645,24
128,32,0.2,0.2,0.01,16,30,0.572815537452698,30
256,32,0.2,0.2,0.01,16,30,0.563106775283813,30
64,64,0.2,0.2,0.01,16,30,0.504854381084442,27
128,64,0.2,0.2,0.01,16,30,0.514563083648682,30
256,64,0.2,0.2,0.01,16,30,0.53398060798645,30
128,128,0.2,0.2,0.01,16,30,0.53398060798645,24
256,128,0.2,0.2,0.01,16,30,0.514563083648682,24
64,32,0.3,0.2,0.01,16,30,0.553398072719574,30
128,32,0.3,0.2,0.01,16,30,0.524271845817566,24
256,32,0.3,0.2,0.01,16,30,0.54368931055069,30
64,64,0.3,0.2,0.01,16,30,0.563106775283813,30
128,64,0.3,0.2,0.01,16,30,0.563106775283813,26
256,64,0.3,0.2,0.01,16,30,0.582524299621582,30
128,128,0.3,0.2,0.01,16,30,0.504854381084442,29
256,128,0.3,0.2,0.01,16,30,0.53398060798645,30
64,32,0.4,0.2,0.01,16,30,0.553398072719574,30
128,32,0.4,0.2,0.01,16,30,0.53398060798645,24
256,32,0.4,0.2,0.01,16,30,0.553398072719574,27
64,64,0.4,0.2,0.01,16,30,0.563106775283813,27
128,64,0.4,0.2,0.01,16,30,0.53398060798645,30
256,64,0.4,0.2,0.01,16,30,0.54368931055069,30
128,128,0.4,0.2,0.01,16,30,0.524271845817566,29
256,128,0.4,0.2,0.01,16,30,0.514563083648682,28
64,32,0.2,0.3,0.01,16,30,0.572815537452698,30
128,32,0.2,0.3,0.01,16,30,0.572815537452698,29
256,32,0.2,0.3,0.01,16,30,0.582524299621582,30
64,64,0.2,0.3,0.01,16,30,0.572815537452698,26
128,64,0.2,0.3,0.01,16,30,0.563106775283813,30
256,64,0.2,0.3,0.01,16,30,0.563106775283813,26
128,128,0.2,0.3,0.01,16,30,0.601941764354706,28
256,128,0.2,0.3,0.01,16,30,0.553398072719574,30
64,32,0.3,0.3,0.01,16,30,0.553398072719574,24
128,32,0.3,0.3,0.01,16,30,0.601941764354706,30
256,32,0.3,0.3,0.01,16,30,0.582524299621582,30
64,64,0.3,0.3,0.01,16,30,0.53398060798645,27
128,64,0.3,0.3,0.01,16,30,0.563106775283813,30
256,64,0.3,0.3,0.01,16,30,0.553398072719574,30
128,128,0.3,0.3,0.01,16,30,0.53398060798645,28
256,128,0.3,0.3,0.01,16,30,0.54368931055069,30
64,32,0.4,0.3,0.01,16,30,0.572815537452698,30
128,32,0.4,0.3,0.01,16,30,0.563106775283813,30
256,32,0.4,0.3,0.01,16,30,0.54368931055069,30
64,64,0.4,0.3,0.01,16,30,0.563106775283813,30
128,64,0.4,0.3,0.01,16,30,0.563106775283813,24
256,64,0.4,0.3,0.01,16,30,0.53398060798645,25
128,128,0.4,0.3,0.01,16,30,0.54368931055069,30
256,128,0.4,0.3,0.01,16,30,0.53398060798645,26
64,32,0.2,0.4,0.01,16,30,0.563106775283813,30
128,32,0.2,0.4,0.01,16,30,0.53398060798645,23
256,32,0.2,0.4,0.01,16,30,0.563106775283813,30
64,64,0.2,0.4,0.01,16,30,0.582524299621582,30
128,64,0.2,0.4,0.01,16,30,0.53398060798645,30
256,64,0.2,0.4,0.01,16,30,0.553398072719574,30
128,128,0.2,0.4,0.01,16,30,0.54368931055069,29
256,128,0.2,0.4,0.01,16,30,0.54368931055069,22
64,32,0.3,0.4,0.01,16,30,0.553398072719574,30
128,32,0.3,0.4,0.01,16,30,0.553398072719574,27
256,32,0.3,0.4,0.01,16,30,0.53398060798645,21
64,64,0.3,0.4,0.01,16,30,0.54368931055069,30
128,64,0.3,0.4,0.01,16,30,0.572815537452698,30
256,64,0.3,0.4,0.01,16,30,0.572815537452698,30
128,128,0.3,0.4,0.01,16,30,0.524271845817566,25
256,128,0.3,0.4,0.01,16,30,0.53398060798645,19
64,32,0.4,0.4,0.01,16,30,0.54368931055069,30
128,32,0.4,0.4,0.01,16,30,0.553398072719574,30
256,32,0.4,0.4,0.01,16,30,0.572815537452698,30
64,64,0.4,0.4,0.01,16,30,0.572815537452698,30
128,64,0.4,0.4,0.01,16,30,0.553398072719574,30
256,64,0.4,0.4,0.01,16,30,0.54368931055069,30
128,128,0.4,0.4,0.01,16,30,0.54368931055069,21
256,128,0.4,0.4,0.01,16,30,0.553398072719574,25
64,32,0.2,0.2,0.001,16,30,0.514563083648682,21
128,32,0.2,0.2,0.001,16,30,0.563106775283813,30
256,32,0.2,0.2,0.001,16,30,0.495145618915558,30
64,64,0.2,0.2,0.001,16,30,0.514563083648682,30
128,64,0.2,0.2,0.001,16,30,0.524271845817566,26
256,64,0.2,0.2,0.001,16,30,0.53398060798645,28
